TASK 9 - CUSTOMER SEGMENTATION
Features: Order_Count, Avg_Order_Value, Total_Spent, and Purchase_Frequency_Per_30_Days.
Segments: High_Value_Loyal, Loyal, Big_Spender, Occasional.
Total customers used: 96096

A. Segment summary
Customer_Segment | Customer_Count | Avg_Order_Count | Avg_Order_Value | Avg_Frequency_30_Days | Segment_Revenue
-----------------+----------------+-----------------+-----------------+-----------------------+----------------
Big_Spender      | 19371          | 1.03            | 424.9           | 29.7162               | 8408645.04     
Occasional       | 76473          | 1.03            | 92.7            | 29.7391               | 7309184.98     
Loyal            | 203            | 3.42            | 101.1           | 14.2752               | 70829.07       
High_Value_Loyal | 49             | 3.22            | 345.44          | 6.4759                | 54894.15       

B. Top 50 customers by total spending
Subscriber_ID                    | Customer_Country | Customer_City    | Order_Count | Avg_Order_Value | Total_Spent | Purchase_Frequency_Per_30_Days | Customer_Segment
---------------------------------+------------------+------------------+-------------+-----------------+-------------+--------------------------------+-----------------
0a0a92112bd4c708ca5fde585afaa872 | France           | Paris            | 1           | 13664.08        | 13664.08    | 30.0000                        | Big_Spender     
da122df9eeddfedc1dc1f5349a1a690c | France           | Saint-Denis      | 2           | 3785.82         | 7571.63     | 60.0000                        | Big_Spender     
763c8b1c9c68a0229c42c9fc6f662b93 | Czechia          | Brno             | 1           | 7274.88         | 7274.88     | 30.0000                        | Big_Spender     
dc4802a71eae9be1dd28f5d788ceb526 | Norway           | Oslo             | 1           | 6929.31         | 6929.31     | 30.0000                        | Big_Spender     
459bef486812aa25204be022145caa62 | Czechia          | Prague           | 1           | 6922.21         | 6922.21     | 30.0000                        | Big_Spender     
ff4159b92c40ebe40454e3e6a7c35ed6 | Germany          | Aachen           | 1           | 6726.66         | 6726.66     | 30.0000                        | Big_Spender     
4007669dec559734d6f53e029e360987 | Netherlands      | Breda            | 1           | 6081.54         | 6081.54     | 30.0000                        | Big_Spender     
5d0a2980b292d049061542014e8960bf | Italy            | Rome             | 1           | 4809.44         | 4809.44     | 30.0000                        | Big_Spender     
eebb5dda148d3893cdaf5b5ca3040ccb | Germany          | Wuppertal        | 1           | 4764.34         | 4764.34     | 30.0000                        | Big_Spender     
48e1ac109decbb87765a3eade6854098 | Slovakia         | Bratislava       | 1           | 4681.78         | 4681.78     | 30.0000                        | Big_Spender     
