TASK 8 - DELIVERY PERFORMANCE ANALYSIS
Delay_Days = Order_Delivered_Carrier_Date - Shipping_Limit_Date.
Negative value means the item was shipped before the expected shipping limit.
Rows with NULL actual/expected delivery timestamps are excluded.
Valid order-item rows used: 111456

A. Delivery performance summary
Delivery_Performance | Item_Count | Avg_Delay_Days | Min_Delay_Days | Max_Delay_Days
---------------------+------------+----------------+----------------+---------------
Early                | 100851     | -4.00          | -1055.24       | -0.01         
Late                 | 10372      | 3.12           | 0.01           | 117.76        
On_Time              | 233        | 0.00           | 0.00           | 0.00          

B. Top 50 latest order items by delay days
Order_ID                         | Order_Item_ID | Seller_ID                        | Order_Status | Expected_Delivery_Time | Actual_Delivery_Time  | Delay_Days | Delivery_Performance
---------------------------------+---------------+----------------------------------+--------------+------------------------+-----------------------+------------+---------------------
da81fbc27b55e0f3d2813cf2078dc780 | 1             | 5d378b73ab7dd6f0418d743e5dcb0bd1 | delivered    | 2023-11-23 21:26:00.0  | 2024-03-20 15:44:00.0 | 117.76     | Late                
8b7fd198ad184563c231653673e75a7f | 1             | e09887ca8c7bf8a4621ce481820414ef | delivered    | 2023-11-23 08:47:00.0  | 2024-02-26 17:27:00.0 | 95.36      | Late                
97f48024fcc76f1898e397ad6966e3a0 | 1             | 9b522ba7eae9e1d04082f267144583cc | delivered    | 2023-12-15 12:41:00.0  | 2024-03-16 13:58:00.0 | 92.05      | Late                
866314550f6d7a55c82917d9b4463e1f | 1             | 9c0e69c7bf2619675bbadf47b43f655a | delivered    | 2023-11-23 02:30:00.0  | 2024-01-21 16:12:00.0 | 59.57      | Late                
866314550f6d7a55c82917d9b4463e1f | 2             | 9c0e69c7bf2619675bbadf47b43f655a | delivered    | 2023-11-23 02:30:00.0  | 2024-01-21 16:12:00.0 | 59.57      | Late                
5cc475c7c03290048eb2e742cd64cb5e | 1             | 897060da8b9a21f655304d50fd935913 | delivered    | 2022-10-09 03:10:00.0  | 2022-12-06 17:24:00.0 | 58.59      | Late                
2805499c211b52dfc1e64a1349ef45e2 | 1             | d98eec89afa3380e14463da2aabaea72 | delivered    | 2024-02-23 15:27:00.0  | 2024-04-16 13:54:00.0 | 52.94      | Late                
7d86c4aa9e59504b23f16c7ca68954a7 | 1             | 8d92f3ea807b89465643c219455e7369 | delivered    | 2023-01-31 16:38:00.0  | 2023-03-21 14:40:00.0 | 48.92      | Late                
bfbd0f9bdef84302105ad712db648a6c | 1             | ecccfa2bb93b34a3bf033cc5d1dcdc69 | delivered    | 2022-09-19 23:11:00.0  | 2022-11-07 17:11:00.0 | 48.75      | Late                
bfbd0f9bdef84302105ad712db648a6c | 2             | ecccfa2bb93b34a3bf033cc5d1dcdc69 | delivered    | 2022-09-19 23:11:00.0  | 2022-11-07 17:11:00.0 | 48.75      | Late                
bfbd0f9bdef84302105ad712db648a6c | 3             | ecccfa2bb93b34a3bf033cc5d1dcdc69 | delivered    | 2022-09-19 23:11:00.0  | 2022-11-07 17:11:00.0 | 48.75      | Late                
5d6e9993ecc20a59e637ce711858d081 | 1             | 6ee85be3693ed79a8e80718743d80655 | delivered    | 2023-01-26 11:26:00.0  | 2023-03-13 09:16:00.0 | 45.91      | Late                
abbbf52551bc34cd52a7851c06dfca90 | 1             | 586a871d4f1221763fddb6ceefdeb95e | delivered    | 2023-01-30 23:20:00.0  | 2023-03-17 09:45:00.0 | 45.43      | Late                
abbbf52551bc34cd52a7851c06dfca90 | 2             | 586a871d4f1221763fddb6ceefdeb95e | delivered    | 2023-01-30 23:20:00.0  | 2023-03-17 09:45:00.0 | 45.43      | Late                
d8734ba226623cf1c86b3cce8cbffa78 | 1             | 0b35c634521043bf4b47e21547b99ab5 | delivered    | 2024-02-06 15:35:00.0  | 2024-03-21 16:12:00.0 | 44.03      | Late                
00e054d0da011d5016f31011af488f4f | 1             | c3867b4666c7d76867627c2f7fb22e21 | delivered    | 2024-03-15 20:08:00.0  | 2024-04-27 17:50:00.0 | 42.90      | Late                
e4d88b96fb1801eb436496008e848e1a | 1             | 4170f6a9367e6b5d6401d03ce6d54569 | delivered    | 2023-12-27 00:52:00.0  | 2024-02-06 22:38:00.0 | 41.91      | Late                
5da2004d85f2828349d887c989da2adc | 1             | 87f3e35268860433e13d577825aada95 | delivered    | 2022-10-11 02:48:00.0  | 2022-11-21 10:23:00.0 | 41.32      | Late                
b77b82b683e9956ecdf55514de3d1f1d | 1             | ec4608a1f76453166bb312b2968aeaf4 | delivered    | 2023-11-10 20:09:00.0  | 2023-12-21 17:22:00.0 | 40.88      | Late                
67e9625c39f8c6e529f81ad4c28acc5e | 1             | 712e6ed8aa4aa1fa65dab41fed5737e4 | delivered    | 2023-02-15 22:30:00.0  | 2023-03-28 14:10:00.0 | 40.65      | Late                
a4a57f1ffa25b90dea9f150fee89db84 | 1             | 8e670472e453ba34a379331513d6aab1 | delivered    | 2023-09-27 17:15:00.0  | 2023-11-06 20:51:00.0 | 40.15      | Late                
63638a6806d67773f3adba8534553fff | 1             | b335c59ab742f751a85db9c411a86739 | delivered    | 2022-10-08 13:47:00.0  | 2022-11-17 15:53:00.0 | 40.09      | Late                
8ab08a832f16966f270a9bbffe395cfa | 1             | aac29b1b99776be73c3049939652091d | delivered    | 2024-01-19 02:31:00.0  | 2024-02-27 23:06:00.0 | 39.86      | Late                
8ab08a832f16966f270a9bbffe395cfa | 2             | aac29b1b99776be73c3049939652091d | delivered    | 2024-01-19 02:31:00.0  | 2024-02-27 23:06:00.0 | 39.86      | Late                
8ab08a832f16966f270a9bbffe395cfa | 3             | aac29b1b99776be73c3049939652091d | delivered    | 2024-01-19 02:31:00.0  | 2024-02-27 23:06:00.0 | 39.86      | Late                
80606b26965c5ed21e85a085e0667b63 | 1             | 77530e9772f57a62c906e1c21538ab82 | delivered    | 2022-10-10 07:46:00.0  | 2022-11-17 11:21:00.0 | 38.15      | Late                
3b2ca3293a7ce539ea2379d704fa37ce | 1             | dd2bdf855a9172734fbc3744021ae9b9 | delivered    | 2022-10-10 15:47:00.0  | 2022-11-17 11:54:00.0 | 37.84      | Late                
